PLAYER,GROSS P/W,GROSS P/Y,ADJ. GROSS,POS.,AGE,COUNTRY,CLUB,League
Erling Haaland,"€ 594,497","€ 30,913,862","€ 30,913,862",F,24,Norway,Manchester City,Premier League
Mohamed Salah,"€ 452,950","€ 23,553,419","€ 23,553,419",F,32,Egypt,Liverpool,Premier League
Kevin De Bruyne,"€ 452,950","€ 23,553,419","€ 23,553,419",F,33,Belgium,Manchester City,Premier League
Virgil van Dijk,"€ 396,332","€ 20,609,241","€ 20,609,241",D,33,Netherlands,Liverpool,Premier League
Casemiro,"€ 396,332","€ 20,609,241","€ 20,609,241",M,32,Brazil,Manchester United,Premier League
Bernardo Silva,"€ 339,713","€ 17,665,064","€ 17,665,064",F,30,Portugal,Manchester City,Premier League
Bruno Fernandes,"€ 339,713","€ 17,665,064","€ 17,665,064",F,30,Portugal,Manchester United,Premier League
Jack Grealish,"€ 339,713","€ 17,665,064","€ 17,665,064",F,29,England,Manchester City,Premier League
Omar Marmoush,"€ 334,051","€ 17,370,646","€ 17,370,646",F,25,Egypt,Manchester City,Premier League
Kai Havertz,"€ 317,065","€ 16,487,393","€ 16,487,393",F,25,Germany,Arsenal,Premier League
Gabriel Jesus,"€ 300,080","€ 15,604,140","€ 15,604,140",F,27,Brazil,Arsenal,Premier League
John Stones,"€ 283,094","€ 14,720,887","€ 14,720,887",D,30,England,Manchester City,Premier League
Reece James,"€ 283,094","€ 14,720,887","€ 14,720,887",D,25,England,Chelsea,Premier League
Martin Ødegaard,"€ 271,770","€ 14,132,051","€ 14,132,051",F,26,Norway,Arsenal,Premier League
Declan Rice,"€ 271,770","€ 14,132,051","€ 14,132,051",M,26,England,Arsenal,Premier League
İlkay Gündoğan,"€ 260,446","€ 13,543,216","€ 13,543,216",M,34,Germany,Manchester City,Premier League
Phil Foden,"€ 254,785","€ 13,248,798","€ 13,248,798",F,24,England,Manchester City,Premier League
Marcus Rashford,"€ 254,785","€ 13,248,798","€ 13,248,798",F,27,England,Aston Villa,Premier League
Rodri,"€ 249,123","€ 12,954,380","€ 12,954,380",M,28,Spain,Manchester City,Premier League
Raheem Sterling,"€ 243,461","€ 12,659,963","€ 12,659,963",F,29,England,Chelsea,Premier League
Mason Mount,"€ 226,475","€ 11,776,709","€ 11,776,709",F,26,England,Manchester United,Premier League
Thomas Partey,"€ 226,475","€ 11,776,709","€ 11,776,709",M,31,Ghana,Arsenal,Premier League
Josko Gvardiol,"€ 226,475","€ 11,776,709","€ 11,776,709",D,23,Croatia,Manchester City,Premier League
Wesley Fofana,"€ 226,475","€ 11,776,709","€ 11,776,709",D,24,France,Chelsea,Premier League
Matthijs de Ligt,"€ 220,813","€ 11,482,292","€ 11,482,292",D,25,Netherlands,Manchester United,Premier League
Bukayo Saka,"€ 220,813","€ 11,482,292","€ 11,482,292",F,23,England,Arsenal,Premier League
Christopher Nkunku,"€ 220,813","€ 11,482,292","€ 11,482,292",F,27,France,Chelsea,Premier League
Heung-min Son,"€ 215,151","€ 11,187,874","€ 11,187,874",F,32,South Korea,Tottenham,Premier League
William Saliba,"€ 215,151","€ 11,187,874","€ 11,187,874",D,23,France,Arsenal,Premier League
Harry Maguire,"€ 215,151","€ 11,187,874","€ 11,187,874",D,31,England,Manchester United,Premier League
Trent Alexander-Arnold,"€ 203,828","€ 10,599,038","€ 10,599,038",D,26,England,Liverpool,Premier League
Gabriel Martinelli,"€ 203,828","€ 10,599,038","€ 10,599,038",F,23,Brazil,Arsenal,Premier League
Manuel Akanji,"€ 203,828","€ 10,599,038","€ 10,599,038",D,29,Switzerland,Manchester City,Premier League
Rúben Dias,"€ 203,828","€ 10,599,038","€ 10,599,038",D,27,Portugal,Manchester City,Premier League
Enzo Fernández,"€ 203,828","€ 10,599,038","€ 10,599,038",M,24,Argentina,Chelsea,Premier League
Marc Cucurella,"€ 198,166","€ 10,304,621","€ 10,304,621",D,26,Spain,Chelsea,Premier League
James Maddison,"€ 192,504","€ 10,010,203","€ 10,010,203",F,28,England,Tottenham,Premier League
Cristian Romero,"€ 186,842","€ 9,715,785","€ 9,715,785",D,26,Argentina,Tottenham,Premier League
Timo Werner,"€ 186,842","€ 9,715,785","€ 9,715,785",F,28,Germany,Tottenham,Premier League
Bruno Guimarães,"€ 181,180","€ 9,421,367","€ 9,421,367",M,27,Brazil,Newcastle,Premier League
Nathan Aké,"€ 181,180","€ 9,421,367","€ 9,421,367",D,29,Netherlands,Manchester City,Premier League
Andrew Robertson,"€ 181,180","€ 9,421,367","€ 9,421,367",D,30,Scotland,Liverpool,Premier League
Pedro Neto,"€ 181,180","€ 9,421,367","€ 9,421,367",F,24,Portugal,Chelsea,Premier League
Luke Shaw,"€ 169,856","€ 8,832,532","€ 8,832,532",D,29,England,Manchester United,Premier League
Jarrod Bowen,"€ 169,856","€ 8,832,532","€ 8,832,532",F,28,England,West Ham,Premier League
Ben White,"€ 169,856","€ 8,832,532","€ 8,832,532",D,27,England,Arsenal,Premier League
Lucas Paquetá,"€ 169,856","€ 8,832,532","€ 8,832,532",F,27,Brazil,West Ham,Premier League
Lloyd Kelly,"€ 169,856","€ 8,832,532","€ 8,832,532",D,25,England,Newcastle,Premier League
Joelinton,"€ 169,856","€ 8,832,532","€ 8,832,532",M,28,Brazil,Newcastle,Premier League
Ryan Gravenberch,"€ 169,856","€ 8,832,532","€ 8,832,532",M,22,Netherlands,Liverpool,Premier League
Oleksandr Zinchenko,"€ 169,856","€ 8,832,532","€ 8,832,532",D,28,Ukraine,Arsenal,Premier League
Moisés Caicedo,"€ 169,856","€ 8,832,532","€ 8,832,532",M,23,Ecuador,Chelsea,Premier League
Alisson,"€ 169,856","€ 8,832,532","€ 8,832,532",K,32,Brazil,Liverpool,Premier League
Emiliano Martínez,"€ 169,856","€ 8,832,532","€ 8,832,532",K,32,Argentina,Aston Villa,Premier League
Alexis Mac Allister,"€ 169,856","€ 8,832,532","€ 8,832,532",M,26,Argentina,Liverpool,Premier League
Anthony Gordon,"€ 169,856","€ 8,832,532","€ 8,832,532",F,23,England,Newcastle,Premier League
Federico Chiesa,"€ 169,856","€ 8,832,532","€ 8,832,532",F,27,Italy,Liverpool,Premier League
Mateo Kovacic,"€ 169,856","€ 8,832,532","€ 8,832,532",M,30,Croatia,Manchester City,Premier League
Jadon Sancho,"€ 169,856","€ 8,832,532","€ 8,832,532",F,24,England,Manchester United,Premier League
Christian Eriksen,"€ 169,856","€ 8,832,532","€ 8,832,532",M,32,Denmark,Manchester United,Premier League
Kalvin Phillips,"€ 169,856","€ 8,832,532","€ 8,832,532",M,29,England,Ipswich Town,Premier League
Youri Tielemans,"€ 169,856","€ 8,832,532","€ 8,832,532",M,27,Belgium,Aston Villa,Premier League
Diogo Jota,"€ 158,533","€ 8,243,697","€ 8,243,697",F,28,Portugal,Liverpool,Premier League
Dominic Solanke,"€ 158,533","€ 8,243,697","€ 8,243,697",F,27,England,Tottenham,Premier League
Donyell Malen,"€ 158,533","€ 8,243,697","€ 8,243,697",F,26,Netherlands,Aston Villa,Premier League
Darwin Núñez,"€ 158,533","€ 8,243,697","€ 8,243,697",F,25,Uruguay,Liverpool,Premier League
Amadou Onana,"€ 158,533","€ 8,243,697","€ 8,243,697",M,23,Belgium,Aston Villa,Premier League
Jamie Vardy,"€ 158,533","€ 8,243,697","€ 8,243,697",F,38,England,Leicester,Premier League
Noussair Mazraoui,"€ 152,871","€ 7,949,279","€ 7,949,279",D,27,Morocco,Manchester United,Premier League
Bernd Leno,"€ 147,209","€ 7,654,861","€ 7,654,861",K,32,Germany,Fulham,Premier League
Ollie Watkins,"€ 147,209","€ 7,654,861","€ 7,654,861",F,29,England,Aston Villa,Premier League
Cole Palmer,"€ 147,209","€ 7,654,861","€ 7,654,861",F,22,England,Chelsea,Premier League
Abdoulaye Doucouré,"€ 147,209","€ 7,654,861","€ 7,654,861",M,32,Mali,Everton,Premier League
Mikel Merino,"€ 147,209","€ 7,654,861","€ 7,654,861",M,28,Spain,Arsenal,Premier League
Matheus Nunes,"€ 147,209","€ 7,654,861","€ 7,654,861",M,26,Portugal,Manchester City,Premier League
Jordan Pickford,"€ 141,547","€ 7,360,443","€ 7,360,443",K,30,England,Everton,Premier League
Danny Ings,"€ 141,547","€ 7,360,443","€ 7,360,443",F,32,England,West Ham,Premier League
Victor Lindelöf,"€ 135,885","€ 7,066,026","€ 7,066,026",D,30,Sweden,Manchester United,Premier League
Tosin Adarabioyo,"€ 135,885","€ 7,066,026","€ 7,066,026",D,27,England,Chelsea,Premier League
Cody Gakpo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,25,Netherlands,Liverpool,Premier League
Riccardo Calafiori,"€ 135,885","€ 7,066,026","€ 7,066,026",D,22,Italy,Arsenal,Premier League
Boubacar Kamara,"€ 135,885","€ 7,066,026","€ 7,066,026",M,25,France,Aston Villa,Premier League
John McGinn,"€ 135,885","€ 7,066,026","€ 7,066,026",M,30,Scotland,Aston Villa,Premier League
Leon Bailey,"€ 135,885","€ 7,066,026","€ 7,066,026",F,27,Jamaica,Aston Villa,Premier League
Lucas Digne,"€ 135,885","€ 7,066,026","€ 7,066,026",D,31,France,Aston Villa,Premier League
Dominik Szoboszlai,"€ 135,885","€ 7,066,026","€ 7,066,026",M,24,Hungary,Liverpool,Premier League
Amad Diallo,"€ 135,885","€ 7,066,026","€ 7,066,026",F,22,Cote d'Ivoire,Manchester United,Premier League
André Onana,"€ 135,885","€ 7,066,026","€ 7,066,026",K,28,Cameroon,Manchester United,Premier League
Alphonse Areola,"€ 135,885","€ 7,066,026","€ 7,066,026",K,31,France,West Ham,Premier League
Lisandro Martínez,"€ 135,885","€ 7,066,026","€ 7,066,026",D,27,Argentina,Manchester United,Premier League
Manuel Ugarte,"€ 135,885","€ 7,066,026","€ 7,066,026",M,23,Uruguay,Manchester United,Premier League
Alexander Isak,"€ 135,885","€ 7,066,026","€ 7,066,026",F,25,Sweden,Newcastle,Premier League
Idrissa Gueye,"€ 135,885","€ 7,066,026","€ 7,066,026",M,35,Senegal,Everton,Premier League
Aaron Ramsdale,"€ 135,885","€ 7,066,026","€ 7,066,026",K,26,England,Southampton,Premier League
Kieran Trippier,"€ 135,885","€ 7,066,026","€ 7,066,026",D,34,England,Newcastle,Premier League
Sandro Tonali,"€ 135,885","€ 7,066,026","€ 7,066,026",M,24,Italy,Newcastle,Premier League
Marco Asensio,"€ 131,922","€ 6,859,933","€ 6,859,933",F,29,Spain,Aston Villa,Premier League
James Ward-Prowse,"€ 130,223","€ 6,771,608","€ 6,771,608",M,29,England,Nottingham Forest,Premier League
Leny Yoro,"€ 130,223","€ 6,771,608","€ 6,771,608",D,19,France,Manchester United,Premier League
James Ward-Prowse,"€ 130,223","€ 6,771,608","€ 6,771,608",M,30,England,West Ham,Premier League
Dejan Kulusevski,"€ 124,561","€ 6,477,190","€ 6,477,190",F,24,Sweden,Tottenham,Premier League
Jorginho,"€ 124,561","€ 6,477,190","€ 6,477,190",M,33,Italy,Arsenal,Premier League
Raheem Sterling,"€ 124,561","€ 6,477,190","€ 6,477,190",F,30,England,Arsenal,Premier League
Kieran Tierney,"€ 124,561","€ 6,477,190","€ 6,477,190",D,27,Scotland,Arsenal,Premier League
Nikola Milenković,"€ 118,899","€ 6,182,772","€ 6,182,772",D,27,Serbia,Nottingham Forest,Premier League
Daichi Kamada,"€ 118,899","€ 6,182,772","€ 6,182,772",F,28,Japan,Crystal Palace,Premier League
Joshua Zirkzee,"€ 118,899","€ 6,182,772","€ 6,182,772",F,23,Netherlands,Manchester United,Premier League
Ben Chilwell,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,England,Chelsea,Premier League
Ederson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,31,Brazil,Manchester City,Premier League
Jadon Sancho,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,England,Chelsea,Premier League
Ben Chilwell,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,England,Crystal Palace,Premier League
Matt Targett,"€ 113,238","€ 5,888,355","€ 5,888,355",D,29,England,Newcastle,Premier League
Dean Henderson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,27,England,Crystal Palace,Premier League
Mykhailo Mudryk,"€ 113,238","€ 5,888,355","€ 5,888,355",F,24,Ukraine,Chelsea,Premier League
Pau Torres,"€ 113,238","€ 5,888,355","€ 5,888,355",D,28,Spain,Aston Villa,Premier League
Dominic Calvert-Lewin,"€ 113,238","€ 5,888,355","€ 5,888,355",F,27,England,Everton,Premier League
Takehiro Tomiyasu,"€ 113,238","€ 5,888,355","€ 5,888,355",D,26,Japan,Arsenal,Premier League
James Tarkowski,"€ 113,238","€ 5,888,355","€ 5,888,355",D,32,England,Everton,Premier League
Diego Carlos,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,Brazil,Aston Villa,Premier League
Levi Colwill,"€ 113,238","€ 5,888,355","€ 5,888,355",D,21,England,Chelsea,Premier League
Gabriel Magalhães,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,Brazil,Arsenal,Premier League
Raúl Jiménez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,34,Mexico,Fulham,Premier League
João Gomes,"€ 113,238","€ 5,888,355","€ 5,888,355",M,24,Brazil,Wolverhampton,Premier League
Reiss Nelson,"€ 113,238","€ 5,888,355","€ 5,888,355",F,25,England,Fulham,Premier League
David Raya,"€ 113,238","€ 5,888,355","€ 5,888,355",K,29,Spain,Arsenal,Premier League
Edson Álvarez,"€ 113,238","€ 5,888,355","€ 5,888,355",M,27,Mexico,West Ham,Premier League
Nicolas Jackson,"€ 113,238","€ 5,888,355","€ 5,888,355",F,23,Senegal,Chelsea,Premier League
Eberechi Eze,"€ 113,238","€ 5,888,355","€ 5,888,355",F,26,England,Crystal Palace,Premier League
Max Kilman,"€ 113,238","€ 5,888,355","€ 5,888,355",D,27,England,West Ham,Premier League
Tyrone Mings,"€ 113,238","€ 5,888,355","€ 5,888,355",D,31,England,Aston Villa,Premier League
Ian Maatsen,"€ 113,238","€ 5,888,355","€ 5,888,355",D,22,Netherlands,Aston Villa,Premier League
Emerson,"€ 107,576","€ 5,593,937","€ 5,593,937",D,30,Italy,West Ham,Premier League
Odsonne Edouard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,27,France,Leicester,Premier League
Harry Winks,"€ 101,914","€ 5,299,519","€ 5,299,519",M,29,England,Leicester,Premier League
Mohammed Kudus,"€ 101,914","€ 5,299,519","€ 5,299,519",F,24,Ghana,West Ham,Premier League
Niclas Füllkrug,"€ 101,914","€ 5,299,519","€ 5,299,519",F,31,Germany,West Ham,Premier League
Tomas Soucek,"€ 101,914","€ 5,299,519","€ 5,299,519",M,29,Czech Republic,West Ham,Premier League
Jurrien Timber,"€ 101,914","€ 5,299,519","€ 5,299,519",D,23,Netherlands,Arsenal,Premier League
Aaron Wan-Bissaka,"€ 101,914","€ 5,299,519","€ 5,299,519",D,27,England,West Ham,Premier League
Richarlison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,27,Brazil,Tottenham,Premier League
Gonçalo Guedes,"€ 101,914","€ 5,299,519","€ 5,299,519",F,28,Portugal,Wolverhampton,Premier League
Brennan Johnson,"€ 101,914","€ 5,299,519","€ 5,299,519",F,23,Wales,Tottenham,Premier League
Joachim Andersen,"€ 101,914","€ 5,299,519","€ 5,299,519",D,28,Denmark,Fulham,Premier League
Matheus Cunha,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,Brazil,Wolverhampton,Premier League
Pablo Sarabia,"€ 101,914","€ 5,299,519","€ 5,299,519",F,32,Spain,Wolverhampton,Premier League
Jack Harrison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,28,England,Everton,Premier League
Chris Wood,"€ 101,914","€ 5,299,519","€ 5,299,519",F,33,New Zealand,Nottingham Forest,Premier League
Benoît Badiashile,"€ 101,914","€ 5,299,519","€ 5,299,519",D,23,France,Chelsea,Premier League
Sven Botman,"€ 101,914","€ 5,299,519","€ 5,299,519",D,25,Netherlands,Newcastle,Premier League
Eddie Nketiah,"€ 101,914","€ 5,299,519","€ 5,299,519",F,25,England,Crystal Palace,Premier League
Stefan Ortega Moreno,"€ 101,914","€ 5,299,519","€ 5,299,519",K,32,Germany,Manchester City,Premier League
Leandro Trossard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,30,Belgium,Arsenal,Premier League
Ferdi Kadıoğlu,"€ 99,083","€ 5,152,310","€ 5,152,310",D,25,Turkey,Brighton,Premier League
Radu Drăgușin,"€ 96,252","€ 5,005,101","€ 5,005,101",D,23,Romania,Tottenham,Premier League
Diogo Dalot,"€ 96,252","€ 5,005,101","€ 5,005,101",D,25,Portugal,Manchester United,Premier League
Joe Gomez,"€ 96,252","€ 5,005,101","€ 5,005,101",D,27,England,Liverpool,Premier League
Michail Antonio,"€ 96,252","€ 5,005,101","€ 5,005,101",F,34,Jamaica,West Ham,Premier League
Pedro Porro,"€ 96,252","€ 5,005,101","€ 5,005,101",D,25,Spain,Tottenham,Premier League
Emmanuel Agbadou,"€ 96,252","€ 5,005,101","€ 5,005,101",D,27,Cote d'Ivoire,Wolverhampton,Premier League
Evanilson,"€ 96,252","€ 5,005,101","€ 5,005,101",F,25,Brazil,Bournemouth,Premier League
Rasmus Højlund,"€ 96,252","€ 5,005,101","€ 5,005,101",F,22,Denmark,Manchester United,Premier League
Joe Willock,"€ 90,590","€ 4,710,684","€ 4,710,684",M,25,England,Newcastle,Premier League
Micky van de Ven,"€ 90,590","€ 4,710,684","€ 4,710,684",D,23,Netherlands,Tottenham,Premier League
Mathys Tel,"€ 90,590","€ 4,710,684","€ 4,710,684",F,19,France,Tottenham,Premier League
Alex Iwobi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,28,Nigeria,Fulham,Premier League
Callum Hudson-Odoi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,24,England,Nottingham Forest,Premier League
Morgan Gibbs-White,"€ 90,590","€ 4,710,684","€ 4,710,684",F,25,England,Nottingham Forest,Premier League
Kaoru Mitoma,"€ 90,590","€ 4,710,684","€ 4,710,684",F,27,Japan,Brighton,Premier League
Lewis Dunk,"€ 90,590","€ 4,710,684","€ 4,710,684",D,33,England,Brighton,Premier League
Boubakary Soumaré,"€ 90,590","€ 4,710,684","€ 4,710,684",M,25,France,Leicester,Premier League
Ricardo Pereira,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,Portugal,Leicester,Premier League
Michael Keane,"€ 90,590","€ 4,710,684","€ 4,710,684",D,32,England,Everton,Premier League
Nélson Semedo,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,Portugal,Wolverhampton,Premier League
Ben Davies,"€ 90,590","€ 4,710,684","€ 4,710,684",D,32,Wales,Tottenham,Premier League
Toti Gomes,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Portugal,Wolverhampton,Premier League
Kiernan Dewsbury-Hall,"€ 90,590","€ 4,710,684","€ 4,710,684",M,26,England,Chelsea,Premier League
Justin Kluivert,"€ 90,590","€ 4,710,684","€ 4,710,684",F,25,Netherlands,Bournemouth,Premier League
Carlos Soler,"€ 90,590","€ 4,710,684","€ 4,710,684",M,28,Spain,West Ham,Premier League
Harvey Barnes,"€ 90,590","€ 4,710,684","€ 4,710,684",F,27,England,Newcastle,Premier League
Matty Cash,"€ 90,590","€ 4,710,684","€ 4,710,684",D,27,Poland,Aston Villa,Premier League
Wilfred Ndidi,"€ 84,928","€ 4,416,266","€ 4,416,266",M,28,Nigeria,Leicester,Premier League
Destiny Udogie,"€ 84,928","€ 4,416,266","€ 4,416,266",D,22,Italy,Tottenham,Premier League
Jhon Durán,"€ 84,928","€ 4,416,266","€ 4,416,266",F,20,Colombia,Aston Villa,Premier League
Georginio Rutter,"€ 84,928","€ 4,416,266","€ 4,416,266",F,22,France,Brighton,Premier League
Murillo,"€ 84,928","€ 4,416,266","€ 4,416,266",D,22,Brazil,Nottingham Forest,Premier League
Marcus Rashford,"€ 84,928","€ 4,416,266","€ 4,416,266",F,27,England,Manchester United,Premier League
Archie Gray,"€ 84,928","€ 4,416,266","€ 4,416,266",D,18,England,Tottenham,Premier League
Conor Coady,"€ 84,928","€ 4,416,266","€ 4,416,266",D,31,England,Leicester,Premier League
Ben Godfrey,"€ 84,928","€ 4,416,266","€ 4,416,266",D,27,England,Ipswich Town,Premier League
Rodrigo Bentancur,"€ 84,928","€ 4,416,266","€ 4,416,266",M,27,Uruguay,Tottenham,Premier League
Ezri Konsa,"€ 84,928","€ 4,416,266","€ 4,416,266",D,27,England,Aston Villa,Premier League
Guido Rodríguez,"€ 84,928","€ 4,416,266","€ 4,416,266",M,30,Argentina,West Ham,Premier League
Morgan Rogers,"€ 84,928","€ 4,416,266","€ 4,416,266",F,22,England,Aston Villa,Premier League
Conor Bradley,"€ 84,928","€ 4,416,266","€ 4,416,266",D,21,Northern Ireland,Liverpool,Premier League
Ibrahim Sangaré,"€ 84,928","€ 4,416,266","€ 4,416,266",M,27,Cote d'Ivoire,Nottingham Forest,Premier League
Patson Daka,"€ 84,928","€ 4,416,266","€ 4,416,266",F,26,Zambia,Leicester,Premier League
Kepa Arrizabalaga,"€ 84,928","€ 4,416,266","€ 4,416,266",K,29,Spain,Chelsea,Premier League
Konstantinos Tsimikas,"€ 84,928","€ 4,416,266","€ 4,416,266",D,28,Greece,Liverpool,Premier League
Kepa Arrizabalaga,"€ 84,928","€ 4,416,266","€ 4,416,266",K,30,Spain,Bournemouth,Premier League
Guglielmo Vicario,"€ 84,928","€ 4,416,266","€ 4,416,266",K,28,Italy,Tottenham,Premier League
Fraser Forster,"€ 84,928","€ 4,416,266","€ 4,416,266",K,36,England,Tottenham,Premier League
Jean-Ricner Bellegarde,"€ 84,928","€ 4,416,266","€ 4,416,266",M,26,France,Wolverhampton,Premier League
Ismaïla Sarr,"€ 79,266","€ 4,121,848","€ 4,121,848",F,26,Senegal,Crystal Palace,Premier League
Fabian Schär,"€ 79,266","€ 4,121,848","€ 4,121,848",D,33,Switzerland,Newcastle,Premier League
Jacob Ramsey,"€ 79,266","€ 4,121,848","€ 4,121,848",M,23,England,Aston Villa,Premier League
Hee-chan Hwang,"€ 79,266","€ 4,121,848","€ 4,121,848",F,29,South Korea,Wolverhampton,Premier League
Dan Burn,"€ 79,266","€ 4,121,848","€ 4,121,848",D,33,England,Newcastle,Premier League
Cheick Doucouré,"€ 79,266","€ 4,121,848","€ 4,121,848",M,25,Mali,Crystal Palace,Premier League
Pape Sarr,"€ 79,266","€ 4,121,848","€ 4,121,848",M,22,Senegal,Tottenham,Premier League
Ibrahima Konaté,"€ 79,266","€ 4,121,848","€ 4,121,848",D,25,France,Liverpool,Premier League
Ryan Christie,"€ 79,266","€ 4,121,848","€ 4,121,848",M,29,Scotland,Bournemouth,Premier League
Joe Aribo,"€ 79,266","€ 4,121,848","€ 4,121,848",M,28,Nigeria,Southampton,Premier League
Jan Bednarek,"€ 79,266","€ 4,121,848","€ 4,121,848",D,28,Poland,Southampton,Premier League
Marshall Munetsi,"€ 79,266","€ 4,121,848","€ 4,121,848",M,28,Zimbabwe,Wolverhampton,Premier League
Aaron Hickey,"€ 79,266","€ 4,121,848","€ 4,121,848",D,22,Scotland,Brentford,Premier League
Jefferson Lerma,"€ 79,266","€ 4,121,848","€ 4,121,848",M,30,Colombia,Crystal Palace,Premier League
Issa Diop,"€ 79,266","€ 4,121,848","€ 4,121,848",D,28,France,Fulham,Premier League
João Félix,"€ 73,604","€ 3,827,431","€ 3,827,431",F,25,Portugal,Chelsea,Premier League
Adama Traoré,"€ 73,604","€ 3,827,431","€ 3,827,431",F,29,Spain,Fulham,Premier League
Maxwel Cornet,"€ 73,604","€ 3,827,431","€ 3,827,431",F,27,Cote d'Ivoire,Southampton,Premier League
Timothy Castagne,"€ 73,604","€ 3,827,431","€ 3,827,431",D,29,Belgium,Fulham,Premier League
Lukasz Fabianski,"€ 73,604","€ 3,827,431","€ 3,827,431",K,39,Poland,West Ham,Premier League
Jonny Evans,"€ 73,604","€ 3,827,431","€ 3,827,431",D,37,Northern Ireland,Manchester United,Premier League
Luis Sinisterra,"€ 73,604","€ 3,827,431","€ 3,827,431",F,25,Colombia,Bournemouth,Premier League
Saša Lukić,"€ 71,340","€ 3,709,663","€ 3,709,663",M,28,Serbia,Fulham,Premier League
Antony,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,Brazil,Manchester United,Premier League
Giorgi Mamardashvili,"€ 67,943","€ 3,533,013","€ 3,533,013",K,24,Georgia,Liverpool,Premier League
José Sá,"€ 67,943","€ 3,533,013","€ 3,533,013",K,32,Portugal,Wolverhampton,Premier League
André Trindade,"€ 67,943","€ 3,533,013","€ 3,533,013",M,23,Brazil,Wolverhampton,Premier League
Ross Barkley,"€ 67,943","€ 3,533,013","€ 3,533,013",M,31,England,Aston Villa,Premier League
Lewis Cook,"€ 67,943","€ 3,533,013","€ 3,533,013",M,28,England,Bournemouth,Premier League
Tyler Adams,"€ 67,943","€ 3,533,013","€ 3,533,013",M,25,United States,Bournemouth,Premier League
Danny Welbeck,"€ 67,943","€ 3,533,013","€ 3,533,013",F,34,England,Brighton,Premier League
James Milner,"€ 67,943","€ 3,533,013","€ 3,533,013",M,39,England,Brighton,Premier League
Mats Wieffer,"€ 67,943","€ 3,533,013","€ 3,533,013",M,25,Netherlands,Brighton,Premier League
Robert Sánchez,"€ 67,943","€ 3,533,013","€ 3,533,013",K,27,Spain,Chelsea,Premier League
Daniel Muñoz,"€ 67,943","€ 3,533,013","€ 3,533,013",D,28,Colombia,Crystal Palace,Premier League
Nick Pope,"€ 67,943","€ 3,533,013","€ 3,533,013",K,32,England,Newcastle,Premier League
Miguel Almirón,"€ 67,943","€ 3,533,013","€ 3,533,013",F,30,Paraguay,Newcastle,Premier League
Will Hughes,"€ 67,943","€ 3,533,013","€ 3,533,013",M,29,England,Crystal Palace,Premier League
Emile Smith Rowe,"€ 67,943","€ 3,533,013","€ 3,533,013",F,24,England,Fulham,Premier League
Jannik Vestergaard,"€ 67,943","€ 3,533,013","€ 3,533,013",D,32,Denmark,Leicester,Premier League
Nico González,"€ 67,943","€ 3,533,013","€ 3,533,013",M,23,Spain,Manchester City,Premier League
Jakub Kiwior,"€ 65,678","€ 3,415,246","€ 3,415,246",D,24,Poland,Arsenal,Premier League
Vitaliy Mykolenko,"€ 65,678","€ 3,415,246","€ 3,415,246",D,25,Ukraine,Everton,Premier League
Emil Krafth,"€ 62,281","€ 3,238,595","€ 3,238,595",D,30,Sweden,Newcastle,Premier League
Ben Mee,"€ 62,281","€ 3,238,595","€ 3,238,595",D,35,England,Brentford,Premier League
Chris Richards,"€ 62,281","€ 3,238,595","€ 3,238,595",D,24,United States,Crystal Palace,Premier League
Luis Díaz,"€ 62,281","€ 3,238,595","€ 3,238,595",F,28,Colombia,Liverpool,Premier League
Boubacar Traoré,"€ 62,281","€ 3,238,595","€ 3,238,595",M,23,Mali,Wolverhampton,Premier League
Lucas Bergvall,"€ 62,281","€ 3,238,595","€ 3,238,595",M,19,Sweden,Tottenham,Premier League
Adam Webster,"€ 62,281","€ 3,238,595","€ 3,238,595",D,30,England,Brighton,Premier League
Sander Berge,"€ 62,281","€ 3,238,595","€ 3,238,595",M,26,Norway,Fulham,Premier League
Séamus Coleman,"€ 62,281","€ 3,238,595","€ 3,238,595",D,36,Ireland,Everton,Premier League
Yves Bissouma,"€ 62,281","€ 3,238,595","€ 3,238,595",M,28,Mali,Tottenham,Premier League
Sergio Reguilón,"€ 60,016","€ 3,120,828","€ 3,120,828",D,28,Spain,Tottenham,Premier League
Carney Chukwuemeka,"€ 56,619","€ 2,944,177","€ 2,944,177",M,20,England,Chelsea,Premier League
